"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2019","27,867.0","28,329.0","28,397.0","27,781.0","198.44K","-1.67%"
"Feb 14, 2019","28,339.0","28,393.0","28,498.0","28,218.0","181.17K","-0.21%"
"Feb 13, 2019","28,400.0","28,117.0","28,509.0","28,102.0","180.50K","0.98%"
"Feb 12, 2019","28,123.0","28,144.0","28,220.0","27,916.0","149.57K","-0.02%"
"Feb 11, 2019","28,130.0","27,957.0","28,158.0","27,758.0","146.73K","0.64%"
"Feb 08, 2019","27,951.0","27,662.0","27,960.0","27,450.0","110.64K","0.42%"
"Feb 06, 2019","27,833.0","27,833.0","27,833.0","27,833.0","-","0.03%"
"Feb 04, 2019","27,826.0","27,855.0","27,950.0","27,726.0","64.91K","-0.13%"
"Feb 01, 2019","27,862.0","28,012.0","28,200.0","27,743.0","169.00K","-0.69%"
"Jan 31, 2019","28,055.0","27,648.0","28,075.0","27,625.0","177.79K","1.83%"
"Jan 30, 2019","27,552.0","27,567.0","27,666.0","27,375.0","31.02K","-0.05%"
"Jan 29, 2019","27,566.0","27,557.0","27,620.0","27,325.0","186.76K","0.03%"
"Jan 28, 2019","27,557.0","27,618.0","27,814.0","27,453.0","234.93K","-0.16%"
"Jan 25, 2019","27,602.0","27,112.0","27,618.0","27,104.0","242.21K","1.87%"
"Jan 24, 2019","27,096.0","27,018.0","27,164.0","26,872.0","195.64K","0.41%"
"Jan 23, 2019","26,985.0","27,006.0","27,160.0","26,875.0","201.37K","-0.07%"
"Jan 22, 2019","27,003.0","27,201.0","27,271.0","26,835.0","197.12K","-0.87%"
"Jan 21, 2019","27,240.0","27,102.0","27,361.0","27,013.0","191.14K","0.52%"
"Jan 18, 2019","27,100.0","26,785.0","27,144.0","26,764.0","187.74K","1.24%"
"Jan 17, 2019","26,769.0","26,890.0","27,041.0","26,666.0","236.85K","-0.51%"
"Jan 16, 2019","26,905.0","26,731.0","26,938.0","26,559.0","199.00K","0.57%"
"Jan 15, 2019","26,752.0","26,302.0","26,874.0","26,254.0","222.86K","1.71%"
"Jan 14, 2019","26,302.0","26,706.0","26,738.0","26,164.0","180.42K","-1.48%"
"Jan 11, 2019","26,696.0","26,464.0","26,746.0","26,461.0","200.76K","0.85%"
"Jan 10, 2019","26,470.0","26,518.0","26,636.0","26,228.0","232.70K","-0.17%"
"Jan 09, 2019","26,515.0","25,917.0","26,652.0","25,915.0","229.68K","2.36%"
"Jan 08, 2019","25,903.0","25,835.0","26,006.0","25,713.0","197.70K","0.15%"
"Jan 07, 2019","25,865.0","25,600.0","26,098.0","25,588.0","201.56K","1.03%"
