时间,车辆编号,往行1/复行0,站点号,前门0/后门1,上车人数,下车人数
2018/11/1 7:03,4938,1,10,0,0,0
2018/11/1 7:03,4938,1,10,1,0,2
2018/11/1 7:04,4937,1,13,0,0,0
2018/11/1 7:04,4937,1,13,1,0,4
2018/11/1 7:04,4924,0,17,0,12,0
2018/11/1 7:04,4924,0,17,1,0,29
2018/11/1 7:04,4910,0,13,0,1,1
2018/11/1 7:04,4910,0,13,1,0,0
2018/11/1 7:04,4909,1,7,0,11,0
2018/11/1 7:04,4930,0,14,0,0,0
2018/11/1 7:04,4912,1,4,0,16,0
2018/11/1 7:04,4914,1,21,0,0,0
2018/11/1 7:04,4914,1,21,1,0,0
2018/11/1 7:04,4913,0,22,0,1,1
2018/11/1 7:04,4913,0,22,1,0,23
2018/11/1 7:04,4920,0,3,0,9,1
2018/11/1 7:04,4933,1,3,0,14,0
2018/11/1 7:04,4920,0,3,1,0,0
2018/11/1 7:04,4933,1,3,1,0,2
2018/11/1 7:04,4921,0,11,1,0,0
2018/11/1 7:05,4924,0,18,0,0,0
2018/11/1 7:05,4924,0,18,1,0,0
2018/11/1 7:05,4934,1,15,0,9,0
2018/11/1 7:05,4911,0,1,0,1,2
2018/11/1 7:05,4911,0,1,1,0,9
2018/11/1 7:05,4934,1,15,1,0,0
2018/11/1 7:05,4923,1,15,0,3,0
2018/11/1 7:05,4923,1,15,1,0,5
2018/11/1 7:05,4937,1,14,0,0,0
2018/11/1 7:05,4937,1,14,1,0,1
2018/11/1 7:05,4918,0,5,0,1,0
2018/11/1 7:05,4918,0,5,1,0,0
2018/11/1 7:05,4916,0,9,0,4,0
2018/11/1 7:05,4916,0,9,1,0,1
2018/11/1 7:05,4922,1,1,0,27,0
2018/11/1 7:05,4919,0,1,0,25,2
2018/11/1 7:05,4919,0,1,1,0,4
2018/11/1 7:05,4922,1,1,1,0,0
2018/11/1 7:05,4911,0,1,0,0,0
2018/11/1 7:05,4911,0,1,1,0,0
2018/11/1 7:05,4910,0,14,0,1,0
2018/11/1 7:05,4910,0,14,1,0,5
2018/11/1 7:06,4930,0,15,0,4,0
2018/11/1 7:06,4930,0,15,1,1,18
2018/11/1 7:06,4913,0,23,0,0,0
2018/11/1 7:06,4924,1,1,0,1,0
2018/11/1 7:06,4913,0,23,1,0,13
2018/11/1 7:06,4912,1,5,0,0,0
2018/11/1 7:06,4938,1,11,0,8,0
2018/11/1 7:06,4912,1,5,1,3,13
2018/11/1 7:06,4924,1,1,0,1,0
2018/11/1 7:06,4921,0,12,0,5,1
2018/11/1 7:06,4920,0,4,0,6,0
2018/11/1 7:06,4924,1,1,1,0,5
